Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_437.xvg,0.0000,160677.56,-2736329.5,0.0000000,-19118.143,-19315.673,-19354.296,-19367.726,-19373.369,-19375.896,-19377.049,-19377.568,-19377.791,-19377.877
dhdl_modified_438.xvg,0.0000,152023.56,-2626644.0,0.0000000,-18595.232,-18791.964,-18830.500,-18843.909,-18849.545,-18852.068,-18853.219,-18853.738,-18853.961,-18854.047
dhdl_modified_439.xvg,0.0000,143870.03,-2521599.5,0.0000000,-18087.645,-18283.574,-18322.022,-18335.410,-18341.038,-18343.559,-18344.709,-18345.227,-18345.449,-18345.535
dhdl_modified_440.xvg,0.0000,136185.66,-2420979.8,0.0000000,-17594.850,-17789.973,-17828.333,-17841.699,-17847.319,-17849.836,-17850.985,-17851.503,-17851.725,-17851.811
dhdl_modified_441.xvg,0.0000,128942.36,-2324591.0,0.0000000,-17116.401,-17310.712,-17348.983,-17362.328,-17367.940,-17370.454,-17371.601,-17372.118,-17372.340,-17372.426
dhdl_modified_442.xvg,0.0000,122112.95,-2232240.5,0.0000000,-16651.815,-16845.310,-16883.491,-16896.814,-16902.418,-16904.929,-16906.075,-16906.591,-16906.813,-16906.898
dhdl_modified_443.xvg,0.0000,115673.38,-2143760.8,0.0000000,-16200.719,-16393.393,-16431.484,-16444.784,-16450.381,-16452.889,-16454.033,-16454.549,-16454.770,-16454.855
dhdl_modified_444.xvg,0.0000,109599.77,-2058976.6,0.0000000,-15762.665,-15954.514,-15992.514,-16005.792,-16011.381,-16013.885,-16015.028,-16015.543,-16015.764,-16015.850
dhdl_modified_445.xvg,0.0000,103870.12,-1977724.5,0.0000000,-15337.246,-15528.265,-15566.174,-15579.429,-15585.010,-15587.511,-15588.652,-15589.167,-15589.388,-15589.473
dhdl_modified_446.xvg,0.0000,98464.180,-1899853.2,0.0000000,-14924.088,-15114.274,-15152.090,-15165.322,-15170.895,-15173.392,-15174.532,-15175.046,-15175.267,-15175.352
dhdl_modified_447.xvg,0.0000,93361.938,-1825206.0,0.0000000,-14522.763,-14712.111,-14749.834,-14763.044,-14768.608,-14771.102,-14772.240,-14772.753,-14772.974,-14773.059
dhdl_modified_448.xvg,0.0000,88546.266,-1753654.6,0.0000000,-14132.977,-14321.483,-14359.112,-14372.298,-14377.854,-14380.344,-14381.481,-14381.994,-14382.214,-14382.299
dhdl_modified_449.xvg,0.0000,83999.789,-1685059.0,0.0000000,-13754.345,-13942.004,-13979.538,-13992.701,-13998.248,-14000.736,-14001.871,-14002.383,-14002.603,-14002.688
dhdl_modified_450.xvg,0.0000,79706.562,-1619290.1,0.0000000,-13386.520,-13573.329,-13610.768,-13623.907,-13629.446,-13631.930,-13633.064,-13633.575,-13633.794,-13633.879
dhdl_modified_451.xvg,0.0000,75651.711,-1556226.5,0.0000000,-13029.181,-13215.135,-13252.478,-13265.594,-13271.124,-13273.604,-13274.737,-13275.247,-13275.466,-13275.551
